"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels",Comment,Date,"Views by top audience (M)","Views by top audience (F)","Views by top audience (13-17, F)","Views by top audience (13-17, M)","Views by top audience (18-24, F)","Views by top audience (18-24, M)","Views by top audience (25-34, F)","Views by top audience (25-34, M)","Views by top audience (35-44, F)","Views by top audience (35-44, M)","Views by top audience (45-54, F)","Views by top audience (45-54, M)","Views by top audience (55-64, F)","Views by top audience (55-64, M)","Views by top audience (65+, F)","Views by top audience (65+, M)","Views by top audience (13-17)","Views by top audience (18-24)","Views by top audience (25-34)","Views by top audience (35-44)","Views by top audience (45-54)","Views by top audience (55-64)","Views by top audience (65+)","Averaged Seconds Viewed","Unique Video 60-Second Views","Seconds Viewed","60-Second Video Views","3-Second Video Views","People reached",Likes,Comments,Shares,Impressions,"Views by country (Philippines (PH))","Views by country (New Zealand (NZ))","Views by country (Chile (CL))","Views by country (Czech Republic (CZ))","Views by country (Belgium (BE))","Views by country (Romania (RO))","Views by country (Portugal (PT))","Views by country (Sweden (SE))","Views by country (Pakistan (PK))","Views by country (Malaysia (MY))","Views by country (Denmark (DK))","Views by country (Slovakia (SK))","Views by country (Turkey (TR))","Views by country (Thailand (TH))","Views by country (Bulgaria (BG))","Views by country (Austria (AT))","Views by country (Trinidad and Tobago (TT))","Views by country (Ukraine (UA))","Views by country (Serbia (RS))","Views by country (Costa Rica (CR))","Views by country (Norway (NO))","Views by country (Israel (IL))","Views by country (Ecuador (EC))","Views by country (Egypt (EG))","Views by country (Indonesia (ID))","Views by country (United States (US))","Views by country (Canada (CA))","Views by country (United Kingdom (GB))","Views by country (Mexico (MX))","Views by country (Australia (AU))","Views by country (France (FR))","Views by country (Germany (DE))","Views by country (Brazil (BR))","Views by country (Spain (ES))","Views by country (Greece (GR))","Views by country (South Africa (ZA))","Views by country (Poland (PL))","Views by country (Netherlands (NL))","Views by country (Puerto Rico (PR))","Views by country (Ireland (IE))","Views by country (Italy (IT))","Views by country (India (IN))","Views by country (Argentina (AR))","Views by country (Colombia (CO))","Views by country (Hungary (HU))","Views by country (Peru (PE))","Views by country (Singapore (SG))","Views by country (Guatemala (GT))","Views by country (Dominican Republic (DO))","Views by country (Lithuania (LT))","Views by country (Algeria (DZ))","Views by country (Réunion (RE))","Views by country (Tunisia (TN))","Views by country (Croatia (HR))","Views by country (Switzerland (CH))","Views by country (Uruguay (UY))","Views by country (Finland (FI))","Views by country (Bangladesh (BD))","Views by country (Slovenia (SI))","Views by country (Hong Kong (HK))","Views by country (Myanmar (MM))","Views by country (Mongolia (MN))","Views by country (Estonia (EE))","Views by country (Cuba (CU))","Views by country (United Arab Emirates (AE))","Views by country (Venezuela (VE))","Views by country (Latvia (LV))","Views by country (Nicaragua (NI))","Views by country (Honduras (HN))","Views by country (Paraguay (PY))","Views by country (Japan (JP))","Views by country (Sri Lanka (LK))","Views by country (Bosnia and Herzegovina (BA))","Views by country (Macedonia (MK))","Views by country (Syria (SY))","Views by country (El Salvador (SV))","Views by country (Bolivia (BO))"
618222283055231,,201765839840980,Hometalk,"Wipe down your bathroom cabinets - this is BRILLIANT!",337,"04/03/2023 15:04",,,Lifetime,2862,34461,29,5,318,68,2056,224,4648,399,7029,518,9457,614,10924,1034,34,394,2299,5089,7609,10172,12087,23.33,9886,2747596.96,10050,37684,134277,587,23,101,139519,260,130,183,163,149,115,157,60,96,100,80,96,58,58,105,65,45,61,61,,,70,62,61,50,23287,2806,1414,1056,719,620,340,400,444,323,428,335,186,194,206,345,199,235,168,238,56,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,
580879873779565,,201765839840980,Hometalk,"Turn a 99 cent frame into THIS!",202,"04/04/2023 15:04",,,Lifetime,9154,102751,86,26,1439,280,9329,1157,17813,1721,23124,1898,26163,1961,24797,2111,114,1740,10549,19669,25209,28355,27165,16.53,8720,3479487.14,8720,112802,221561,992,9,207,236025,772,399,783,660,580,572,575,285,641,309,346,423,253,228,428,252,,256,297,232,179,196,203,179,,61886,6334,4293,4073,1723,2620,1579,1644,2085,1103,1326,1364,732,619,690,1263,1190,1109,1002,1240,265,,,,,,,,227,,,,,,,,,,,,,,,,,,,,,,,
745645600279104,,201765839840980,Hometalk,"Buy a Home Depot table leg for this GENIUS idea!",205,"04/05/2023 15:04",,,Lifetime,8600,77531,44,16,615,160,3818,633,9545,1145,16410,1618,22732,2137,24367,2891,61,791,4488,10799,18167,25084,27507,30.64,29505,5629755.05,29505,86900,240569,1564,55,293,246413,546,300,340,330,341,268,306,199,191,161,193,207,116,113,207,138,,116,125,87,106,127,91,86,,57274,5494,3072,1850,1601,1464,902,709,965,627,953,671,482,414,358,763,442,464,416,563,113,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,
219987103958501,,201765839840980,Hometalk,"Dip an old CD in water (BRILLIANT!)",192,"04/07/2023 15:04",,,Lifetime,12212,93282,58,24,873,200,5528,861,12639,1684,19080,2231,26834,3075,28270,4137,82,1091,6440,14458,21484,30170,32740,29.47,48898,7210095.17,48898,106467,304124,1044,45,221,339816,678,556,433,471,468,366,329,331,331,242,396,350,166,118,246,204,,143,187,137,172,212,,,120,62023,6319,6792,2005,3509,1724,1377,838,1356,940,1941,929,856,386,581,970,834,682,557,1137,162,,,,,,,,166,130,,,,,,,,,,,,,,,,,,,,,,
605586651491403,,201765839840980,Hometalk,"The GENIUS folding table hack that shocks EVERYONE!",234,"04/09/2023 15:04",,,Lifetime,98841,393372,431,180,5748,1842,35740,11257,73851,22270,92487,23785,95637,19975,89478,19532,620,7722,47351,97020,117241,116650,110076,19.97,91203,21005837.58,91203,496684,1142157,4386,155,1737,1264860,2260,1019,1644,1533,1341,1026,1343,842,1017,754,784,794,564,607,723,459,,438,431,517,395,663,492,365,,371070,21825,10986,10729,5869,7237,3007,3231,4833,2652,3160,3156,1822,1906,1489,2483,2042,2272,1845,2308,579,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,
1394501651362669,,201765839840980,Hometalk,"Handy husband discovers abandoned pallet. Look what happens next!",247,"04/10/2023 15:04",,,Lifetime,50584,142196,85,36,1013,464,5588,2183,14263,4814,25195,8192,40598,14140,55454,20755,123,1513,7842,19287,33705,55273,76995,30.15,55050,12251050.45,55224,194743,464388,2013,93,315,520447,571,782,596,1261,1629,460,657,758,242,246,629,449,214,,422,360,,197,251,155,247,318,,,,115155,20324,10329,2337,2940,7171,2622,993,2091,1364,1926,1624,1649,472,1510,3360,487,878,456,1113,,,,,182,,,,277,226,,197,,180,,,,,,,,,,,,,,,,,,
186799677473206,,201765839840980,Hometalk,"Squeeze Dollar Store glue onto a pot (BRILLIANT!)",186,"04/11/2023 15:04",,,Lifetime,5825,65233,108,29,938,191,4932,647,10296,963,15003,1149,17377,1305,16579,1541,139,1150,5636,11337,16273,18828,18282,18.69,13583,3119035.09,13825,71645,199375,1103,15,219,199375,377,204,372,346,346,264,299,182,237,193,166,194,126,102,217,149,,118,137,124,90,183,,104,,42252,4168,2755,2682,1100,1582,958,1150,933,646,733,682,458,512,362,773,510,534,617,591,129,,,103,,,,,103,,,,,,,,,,,,,,,,,,,,,,,
756435769434812,,201765839840980,Hometalk,"Buy a bag of concrete at Home Depot for this brilliant idea!",209,"04/12/2023 15:04",,,Lifetime,6022,39131,30,10,267,96,1738,407,4321,746,7686,1097,11516,1516,13573,2150,40,372,2159,5115,8853,13140,15857,25.16,13234,2641009.59,13277,45536,125192,489,35,97,132715,250,161,139,144,172,139,131,89,112,119,84,103,63,55,99,74,41,50,58,46,,71,,39,57,30827,2737,1787,890,680,680,431,374,407,274,431,277,228,243,239,375,269,173,181,302,57,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,
199753986118627,,201765839840980,Hometalk,"Run to the Dollar Store for this BRILLIANT laundry basket hack!",227,"04/14/2023 15:04",,,Lifetime,23278,397290,524,154,6561,950,33519,2776,71178,3864,99098,4540,97498,4963,88912,6031,686,7622,36544,75586,104368,103210,95699,28.88,115393,23511316.82,115393,423725,944826,6642,148,1844,1024682,1705,1018,1420,1732,1515,877,1459,798,972,1055,618,707,573,965,650,699,430,433,429,501,,1143,466,607,,288639,21903,11652,13087,6016,8215,4603,4247,4479,2923,3623,2569,1840,2248,1589,3736,2836,1732,2544,1562,544,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186870155365633,,201765839840980,Hometalk,"Double your kitchen storage (for $20) with this BRILLIANT idea!",184,"04/16/2023 15:04",,,Lifetime,5056,65934,54,27,688,133,4304,499,10117,871,16208,1051,18177,1203,16386,1272,82,832,4837,11068,17395,19503,17797,20.64,18130,3598342.19,18537,71517,194657,1336,47,507,206525,483,259,442,496,439,511,433,191,314,206,209,322,184,134,395,215,,210,198,102,,148,112,118,,36489,3770,2699,2011,1092,2693,1602,1141,1626,1277,686,1069,497,431,316,1398,612,753,747,740,158,,,,,,,,131,139,,,,,,,,,,,,,,,,,,,,,,
180372161544882,,201765839840980,Hometalk,"Look what she did with a Dollar Store solar light! (BRILLIANT!)",181,"04/17/2023 15:04",,,Lifetime,56553,258397,247,70,3159,1091,14264,4582,34087,9680,57101,12900,73881,13904,75658,14326,321,4345,19013,44127,70610,88448,90696,30.79,127246,21933015.24,128609,317563,845222,1771,258,610,845222,249,828,318,934,922,279,261,829,156,154,487,285,109,,153,334,203,108,134,108,164,162,,,,226676,18438,20616,2252,3229,4674,2658,621,1164,642,1207,1180,1697,663,19277,651,339,448,332,450,,,,,195,,,,108,110,,141,,,,,,,,,,,,,,,,,,,,
