"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels",Comment,Date,"People reached",Comments,Shares,Likes,"3-Second Video Views","Seconds Viewed","Averaged Seconds Viewed","Views by top audience (18-24, M)","Views by top audience (18-24, F)","Views by top audience (13-17, M)","Views by top audience (13-17, F)","Views by top audience (65+, M)","Views by top audience (65+, F)","Views by top audience (55-64, M)","Views by top audience (55-64, F)","Views by top audience (45-54, M)","Views by top audience (45-54, F)","Views by top audience (35-44, M)","Views by top audience (35-44, F)","Views by top audience (25-34, M)","Views by top audience (25-34, F)","Views by top audience (M)","Views by top audience (F)","Unique Video 60-Second Views","60-Second Video Views",Impressions,"Views by top audience (65+)","Views by top audience (55-64)","Views by top audience (45-54)","Views by top audience (35-44)","Views by top audience (25-34)","Views by top audience (18-24)","Views by top audience (13-17)","Views by country (United States (US))","Views by country (United Kingdom (GB))","Views by country (Canada (CA))","Views by country (France (FR))","Views by country (Germany (DE))","Views by country (Mexico (MX))","Views by country (Spain (ES))","Views by country (Greece (GR))","Views by country (Poland (PL))","Views by country (Australia (AU))","Views by country (Brazil (BR))","Views by country (Hungary (HU))","Views by country (South Africa (ZA))","Views by country (Netherlands (NL))","Views by country (Italy (IT))","Views by country (Colombia (CO))","Views by country (Belgium (BE))","Views by country (Ireland (IE))","Views by country (Puerto Rico (PR))","Views by country (Ukraine (UA))","Views by country (Argentina (AR))","Views by country (Portugal (PT))","Views by country (Slovakia (SK))","Views by country (Philippines (PH))","Views by country (Pakistan (PK))","Views by country (Denmark (DK))","Views by country (Sweden (SE))","Views by country (India (IN))","Views by country (Algeria (DZ))","Views by country (Israel (IL))","Views by country (Romania (RO))","Views by country (Serbia (RS))","Views by country (Egypt (EG))","Views by country (Norway (NO))","Views by country (New Zealand (NZ))","Views by country (Bulgaria (BG))","Views by country (Austria (AT))","Views by country (Chile (CL))","Views by country (Croatia (HR))","Views by country (Peru (PE))","Views by country (Macedonia (MK))","Views by country (Iraq (IQ))","Views by country (Iceland (IS))","Views by country (Bosnia and Herzegovina (BA))","Views by country (Malaysia (MY))","Views by country (Czech Republic (CZ))","Views by country (Cuba (CU))","Views by country (Lithuania (LT))","Views by country (Thailand (TH))","Views by country (Ecuador (EC))","Views by country (Switzerland (CH))","Views by country (Costa Rica (CR))","Views by country (Turkey (TR))","Views by country (Dominican Republic (DO))","Views by country (Guatemala (GT))","Views by country (Slovenia (SI))","Views by country (Indonesia (ID))","Views by country (Hong Kong (HK))","Views by country (Trinidad and Tobago (TT))","Views by country (El Salvador (SV))","Views by country (United Arab Emirates (AE))","Views by country (Finland (FI))","Views by country (Singapore (SG))","Views by country (Uruguay (UY))","Views by country (Bangladesh (BD))","Views by country (Jamaica (JM))","Views by country (Guyana (GY))","Views by country (Tunisia (TN))","Views by country (Mongolia (MN))","Views by country (Sri Lanka (LK))","Views by country (Myanmar (MM))","Views by country (Vietnam (VN))","Views by country (Cyprus (CY))","Views by country (Réunion (RE))","Views by country (Georgia (GE))","Views by country (Venezuela (VE))","Views by country (Bolivia (BO))","Views by country (Honduras (HN))","Views by country (Guam (GU))","Views by country (Namibia (NA))"
729326202168116,,201765839840980,Hometalk,,19,"03/30/2023 08:03",,,Lifetime,162170,7,82,340,70140,1349125.6,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676924157304053,,201765839840980,Hometalk,"Top 6 fake high end decor ideas of 2022!",190,"01/01/2023 10:01",,,Lifetime,6237341,1003,25461,76173,3046351,139635814.22,23.8,31813,290335,2835,13867,16190,129010,22962,226909,39798,409199,73589,751416,98705,923506,285892,2744242,672818,681456,6575490,146427,251299,451453,829521,1026458,324293,16867,699261,83553,72597,135740,65495,514376,49909,26859,93570,26226,226692,23652,29184,20162,65888,61629,26435,,15353,8897,71252,23668,12655,37042,14393,,8759,26015,19715,9632,19705,,11764,,,13223,11212,41375,,25529,,,,,18767,34495,,12870,19313,20927,,15507,,13680,15052,,,,,,,,,,,,,,9997,,,,,,,9965,8952,,,
676692007265323,,201765839840980,Hometalk,"4 genius ways to fake Pottery Barn winter decor!",199,"01/03/2023 10:01",,,Lifetime,138481,6,70,389,47987,1781882.94,15.37,91,511,17,38,1094,11976,826,11768,700,9552,555,6977,309,3215,3592,44037,8103,8274,141916,13182,12688,10317,7590,3543,611,56,25956,2734,2607,1379,919,1657,827,566,1015,505,730,740,442,444,584,308,265,246,252,102,282,233,176,175,124,142,215,273,,76,267,86,,74,151,160,167,205,84,92,,,,,68,445,,121,,,68,67,72,,,,,,,,,,,,,,,,,,,,,,61,,,,,
560598165622764,,201765839840980,Hometalk,"The hottest new wall trend everyone's using in 2023!",137,"01/04/2023 10:01",,,Lifetime,145239,31,56,325,35358,1188709.7,11.44,78,358,14,33,837,8698,620,8296,468,7062,451,5379,260,2535,2728,32361,5997,6047,149422,9615,8981,7580,5877,2815,440,47,17123,2105,1975,1241,753,1367,699,510,816,466,693,552,542,301,504,269,201,199,153,72,281,224,146,200,91,102,153,191,,54,228,92,51,47,153,160,126,194,63,98,,,,,76,309,,79,52,,50,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
831021594646834,,201765839840980,Hometalk,"Genius vinegar hacks that work like MAGIC!",206,"01/05/2023 10:01",,,Lifetime,181964,22,202,485,68358,3814163.66,24.05,129,726,17,48,1938,20977,1224,15855,963,12001,751,8631,482,4024,5504,62262,19533,20046,189509,23142,17216,13070,9459,4534,867,68,35557,4282,4266,2084,1371,2563,1025,868,1486,1053,855,868,579,635,781,452,389,379,329,165,389,281,271,251,171,285,268,376,,126,371,177,,127,230,258,228,282,140,110,,,,,119,840,,221,113,,99,,122,,91,,,,,,,,,,,,,,,,,,,,,,,,,
703692761092926,,201765839840980,Hometalk,"She pulls a drawer off her nightstand for this genius living room hack!",191,"01/06/2023 10:01",,,Lifetime,97664,19,74,292,28722,1226260.75,14.54,37,254,6,20,773,8484,528,7157,435,5121,361,3491,201,1631,2341,26158,6960,7035,101991,9333,7736,5595,3892,1841,297,27,17214,1368,1665,627,317,724,497,321,330,365,334,366,276,182,444,124,168,116,139,55,199,115,113,142,52,77,103,149,,34,131,54,,38,82,104,57,110,47,51,,,,,75,180,,40,45,,35,39,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
8926659754073266,,201765839840980,Hometalk,"9 incredible ways to turn Michael's crates into stunning home decor!",200,"01/07/2023 10:01",,,Lifetime,743318,151,4375,5031,277256,9755753.16,14.62,735,4327,79,280,3970,35510,5126,58099,6052,69842,5082,56701,3066,26707,24110,251466,39442,40473,775734,39832,63580,76257,62172,29936,5111,366,106715,6925,12920,25657,8262,22140,6511,2256,7326,2348,7803,2647,2146,1272,10597,2774,3067,725,2013,574,3772,2900,1159,1690,437,681,674,670,,,1264,,,,535,960,1139,2419,443,937,,,,,888,4171,,747,1694,562,540,686,,,738,,,,,,,,,461,,,,,,,,,,629,,,,,,
3499924916961312,,201765839840980,Hometalk,"20 Christmas cleanup tricks professional organizers swear by!",186,"01/08/2023 10:01",,,Lifetime,235597,65,384,431,120664,4430005.76,20.58,258,1286,20,78,2487,27450,2087,28877,1881,24731,1557,18971,930,9209,9220,110602,21732,21732,271092,30200,31167,26778,20681,10175,1563,99,59541,5427,6071,4056,2369,5730,2303,1742,2548,1612,2095,2372,1057,963,1658,1131,767,722,810,316,1005,731,592,494,334,446,508,581,,185,735,300,,1160,339,514,407,798,234,364,,,,,251,1357,,323,,198,,250,215,,199,,,,,,,,,,,,,,,,,,,,,,,,,
684043620106875,,201765839840980,Hometalk,"9 ways to fake designer planters for a fraction of the cost.",192,"01/10/2023 10:01",,,Lifetime,88645,5,115,378,26084,939122.04,12.36,60,251,9,31,670,6599,496,6182,453,5122,381,3713,225,1696,2294,23594,4048,4048,93802,7326,6722,5615,4130,1932,316,41,13891,1248,1341,799,461,1088,434,315,456,325,467,323,241,193,363,154,156,112,165,61,201,151,83,144,69,87,116,193,,38,129,52,,,95,90,70,130,53,69,,,,,74,231,,48,69,42,,45,60,,39,,,,,,,,,,,,,,,,,,,,,,,,,
678969443726821,,201765839840980,Hometalk,"18 brilliant home hacks you'll wish you'd seen sooner!",188,"01/12/2023 10:01",,,Lifetime,115749,9,160,446,42693,1800108.53,18.45,79,450,14,41,1152,11998,759,10118,628,7824,551,5644,341,2762,3524,38837,8707,8785,119942,13260,10962,8511,6240,3122,540,56,24323,1909,2384,978,589,1172,664,494,530,594,631,638,391,327,685,215,260,190,212,101,367,194,164,214,115,140,163,283,,65,205,95,,,123,158,111,230,67,93,,,,,110,280,,82,94,,57,,103,,,,64,,,,,,,,,,,,,,,,52,,,,,,,
592632246023161,,201765839840980,Hometalk,"6 gorgeous ways to give your plain candles a totally new look!",199,"01/13/2023 10:01",,,Lifetime,126751,8,104,434,41982,1273982.97,12.07,90,489,12,35,939,9426,689,9845,598,8769,550,6658,366,3217,3244,38439,5432,5432,126751,10444,10608,9430,7263,3602,586,49,19633,2138,2023,1562,912,2644,830,636,915,446,841,618,388,371,705,447,248,230,292,103,426,330,177,175,102,141,156,207,,76,193,102,66,,120,168,171,311,74,151,,,,,87,451,,118,,79,77,89,,,71,,,,,,,,,,,,,,,,,,,,,,,,,
